SenderID,ReceiverID,SenderDepartment,ReceiverDepartment,SenderLevel,ReceiverLevel,Channel,Timestamp,InteractionWeight
E0184,E0057,HR,Marketing,Junior,Junior,Meeting,2024-04-28 03:00:00,5
E0131,E0010,HR,HR,Junior,Manager,Chat,2024-04-23 20:00:00,2
E0074,E0061,Marketing,Operations,Junior,Junior,Email,2024-03-10 11:00:00,2
E0154,E0144,IT,Finance,Junior,Junior,Meeting,2024-04-19 16:00:00,2
E0162,E0199,HR,Operations,Junior,Junior,Meeting,2024-03-21 15:00:00,2
E0095,E0153,Sales,Marketing,Junior,Junior,Chat,2024-04-26 09:00:00,2
E0172,E0035,HR,Sales,Junior,Junior,Email,2024-04-26 18:00:00,1
E0101,E0169,Operations,Operations,Junior,Junior,Email,2024-04-16 15:00:00,3
E0162,E0055,HR,R&D,Junior,Junior,Meeting,2024-04-19 04:00:00,3
E0185,E0005,Operations,Sales,Junior,Director,Chat,2024-04-05 05:00:00,1
E0057,E0077,Marketing,HR,Junior,Junior,Meeting,2024-03-28 06:00:00,1
E0179,E0050,Marketing,HR,Junior,Junior,Meeting,2024-04-14 06:00:00,1
E0069,E0144,R&D,Finance,Junior,Junior,Chat,2024-04-12 20:00:00,4
E0141,E0017,IT,HR,Junior,Manager,Meeting,2024-03-29 03:00:00,4
E0086,E0124,R&D,Finance,Junior,Junior,Email,2024-03-22 00:00:00,6
E0112,E0081,IT,R&D,Junior,Junior,Email,2024-04-07 07:00:00,3
E0082,E0131,Sales,HR,Junior,Junior,Meeting,2024-04-10 01:00:00,2
E0141,E0027,IT,Operations,Junior,Junior,Email,2024-04-25 10:00:00,5
E0051,E0007,HR,Finance,Junior,Director,Email,2024-03-18 21:00:00,0
E0099,E0034,Sales,Marketing,Junior,Junior,Meeting,2024-03-09 23:00:00,1
E0106,E0178,Finance,Sales,Junior,Junior,Meeting,2024-04-06 15:00:00,4
E0069,E0174,R&D,IT,Junior,Junior,Chat,2024-04-21 13:00:00,8
E0046,E0076,Finance,Operations,Junior,Junior,Email,2024-04-12 13:00:00,3
E0002,E0003,HR,HR,VP,VP,Chat,2024-04-25 23:00:00,5
E0167,E0109,Finance,Finance,Junior,Junior,Meeting,2024-04-11 03:00:00,4
E0099,E0035,Sales,Sales,Junior,Junior,Meeting,2024-03-22 03:00:00,2
E0055,E0038,R&D,HR,Junior,Junior,Email,2024-04-04 14:00:00,2
E0074,E0017,Marketing,HR,Junior,Manager,Email,2024-03-18 14:00:00,5
E0031,E0181,IT,HR,Junior,Junior,Email,2024-03-29 17:00:00,3
E0070,E0146,Operations,Operations,Junior,Junior,Meeting,2024-04-04 00:00:00,5
E0060,E0106,HR,Finance,Junior,Junior,Email,2024-03-11 13:00:00,1
E0135,E0004,Sales,Operations,Junior,Director,Email,2024-04-25 12:00:00,3
E0024,E0077,HR,HR,Junior,Junior,Email,2024-03-25 00:00:00,1
E0128,E0168,Sales,R&D,Junior,Junior,Chat,2024-04-29 14:00:00,1
E0133,E0051,Marketing,HR,Junior,Junior,Meeting,2024-04-16 17:00:00,4
E0005,E0018,Sales,HR,Director,Manager,Email,2024-03-13 09:00:00,1
E0110,E0092,Finance,R&D,Junior,Junior,Email,2024-04-07 23:00:00,1
E0057,E0060,Marketing,HR,Junior,Junior,Meeting,2024-03-21 01:00:00,1
E0028,E0068,Operations,Sales,Junior,Junior,Chat,2024-04-02 16:00:00,4
E0098,E0035,Operations,Sales,Junior,Junior,Meeting,2024-03-06 05:00:00,4
E0083,E0142,HR,Finance,Junior,Junior,Email,2024-04-13 07:00:00,1
E0116,E0162,Marketing,HR,Junior,Junior,Meeting,2024-03-16 18:00:00,3
E0005,E0022,Sales,Marketing,Director,Manager,Email,2024-03-27 21:00:00,2
E0018,E0017,HR,HR,Manager,Manager,Chat,2024-03-14 21:00:00,5
E0036,E0184,R&D,HR,Junior,Junior,Email,2024-03-17 12:00:00,5
E0194,E0044,IT,Sales,Junior,Junior,Meeting,2024-03-20 14:00:00,3
E0059,E0124,R&D,Finance,Junior,Junior,Email,2024-03-01 14:00:00,3
E0187,E0164,R&D,HR,Junior,Junior,Meeting,2024-03-07 02:00:00,4
E0084,E0139,R&D,IT,Junior,Junior,Meeting,2024-03-17 04:00:00,11
E0128,E0099,Sales,Sales,Junior,Junior,Email,2024-04-26 07:00:00,6
E0183,E0076,Operations,Operations,Junior,Junior,Email,2024-03-29 17:00:00,4
E0172,E0078,HR,HR,Junior,Junior,Meeting,2024-04-21 20:00:00,2
E0111,E0008,IT,Finance,Junior,Manager,Meeting,2024-04-22 17:00:00,3
E0179,E0121,Marketing,R&D,Junior,Junior,Meeting,2024-03-07 04:00:00,3
E0020,E0012,Finance,Operations,Manager,Manager,Meeting,2024-04-05 04:00:00,6
E0176,E0088,IT,IT,Junior,Junior,Meeting,2024-03-14 22:00:00,4
E0056,E0029,Sales,Operations,Junior,Junior,Meeting,2024-04-10 08:00:00,5
E0137,E0060,Operations,HR,Junior,Junior,Chat,2024-04-27 01:00:00,0
E0162,E0015,HR,Marketing,Junior,Manager,Chat,2024-04-23 08:00:00,4
E0045,E0198,Sales,Operations,Junior,Junior,Chat,2024-04-19 04:00:00,3
E0126,E0087,HR,HR,Junior,Junior,Chat,2024-03-11 23:00:00,1
E0137,E0102,Operations,Operations,Junior,Junior,Meeting,2024-03-28 17:00:00,6
E0137,E0146,Operations,Operations,Junior,Junior,Email,2024-04-26 22:00:00,4
E0012,E0182,Operations,Operations,Manager,Junior,Email,2024-04-23 11:00:00,5
E0089,E0200,Sales,Sales,Junior,Junior,Email,2024-03-28 04:00:00,5
E0085,E0187,Finance,R&D,Junior,Junior,Chat,2024-04-27 01:00:00,2
E0057,E0141,Marketing,IT,Junior,Junior,Email,2024-04-13 07:00:00,4
E0063,E0059,Marketing,R&D,Junior,Junior,Chat,2024-04-19 17:00:00,1
E0148,E0085,Marketing,Finance,Junior,Junior,Chat,2024-04-09 23:00:00,1
E0182,E0167,Operations,Finance,Junior,Junior,Email,2024-04-25 05:00:00,6
E0087,E0027,HR,Operations,Junior,Junior,Email,2024-04-26 13:00:00,5
E0160,E0054,HR,Sales,Junior,Junior,Meeting,2024-04-29 10:00:00,1
E0043,E0156,IT,Finance,Junior,Junior,Chat,2024-04-21 21:00:00,1
E0072,E0063,R&D,Marketing,Junior,Junior,Email,2024-03-18 05:00:00,3
E0047,E0013,Finance,Marketing,Junior,Manager,Email,2024-03-25 01:00:00,4
E0199,E0192,Operations,HR,Junior,Junior,Email,2024-03-13 14:00:00,3
E0029,E0070,Operations,Operations,Junior,Junior,Email,2024-03-15 00:00:00,2
E0099,E0046,Sales,Finance,Junior,Junior,Chat,2024-03-22 08:00:00,3
E0068,E0075,Sales,Finance,Junior,Junior,Chat,2024-03-23 20:00:00,3
E0033,E0019,IT,HR,Junior,Manager,Meeting,2024-04-23 17:00:00,2
E0192,E0125,HR,R&D,Junior,Junior,Email,2024-03-08 08:00:00,2
E0033,E0031,IT,IT,Junior,Junior,Chat,2024-03-03 03:00:00,4
E0062,E0125,IT,R&D,Junior,Junior,Chat,2024-04-16 10:00:00,3
E0008,E0010,Finance,HR,Manager,Manager,Chat,2024-04-27 18:00:00,4
E0148,E0061,Marketing,Operations,Junior,Junior,Email,2024-04-15 13:00:00,2
E0009,E0013,Operations,Marketing,Manager,Manager,Chat,2024-03-28 02:00:00,2
E0116,E0064,Marketing,HR,Junior,Junior,Chat,2024-04-09 10:00:00,2
E0192,E0167,HR,Finance,Junior,Junior,Email,2024-04-16 09:00:00,1
E0002,E0003,HR,HR,VP,VP,Chat,2024-03-26 22:00:00,9
E0178,E0088,Sales,IT,Junior,Junior,Email,2024-03-13 13:00:00,3
E0152,E0116,IT,Marketing,Junior,Junior,Chat,2024-04-13 23:00:00,2
E0010,E0138,HR,IT,Manager,Junior,Meeting,2024-03-20 12:00:00,8
E0045,E0033,Sales,IT,Junior,Junior,Email,2024-03-20 09:00:00,2
E0139,E0107,IT,Marketing,Junior,Junior,Meeting,2024-04-08 20:00:00,2
E0182,E0036,Operations,R&D,Junior,Junior,Chat,2024-03-29 21:00:00,6
E0050,E0056,HR,Sales,Junior,Junior,Chat,2024-04-20 23:00:00,3
E0034,E0136,Marketing,Finance,Junior,Junior,Email,2024-03-19 16:00:00,4
E0086,E0188,R&D,Sales,Junior,Junior,Meeting,2024-03-22 02:00:00,8
E0074,E0137,Marketing,Operations,Junior,Junior,Email,2024-04-13 09:00:00,2
E0172,E0178,HR,Sales,Junior,Junior,Email,2024-03-10 00:00:00,2
E0199,E0079,Operations,Operations,Junior,Junior,Chat,2024-04-09 02:00:00,0
E0069,E0194,R&D,IT,Junior,Junior,Meeting,2024-04-06 06:00:00,1
E0142,E0022,Finance,Marketing,Junior,Manager,Chat,2024-04-01 12:00:00,2
E0165,E0146,Finance,Operations,Junior,Junior,Meeting,2024-04-14 00:00:00,2
E0097,E0005,Finance,Sales,Junior,Director,Email,2024-04-19 13:00:00,4
E0143,E0121,Sales,R&D,Junior,Junior,Meeting,2024-04-03 14:00:00,2
E0065,E0072,IT,R&D,Junior,Junior,Email,2024-04-28 03:00:00,3
E0180,E0004,R&D,Operations,Junior,Director,Chat,2024-04-12 16:00:00,3
E0054,E0026,Sales,Finance,Junior,Junior,Meeting,2024-03-21 14:00:00,0
E0001,E0003,Operations,HR,C-Suite,VP,Meeting,2024-03-29 05:00:00,1
E0099,E0003,Sales,HR,Junior,VP,Chat,2024-03-29 08:00:00,3
E0003,E0007,HR,Finance,VP,Director,Chat,2024-04-19 16:00:00,3
E0039,E0014,R&D,HR,Junior,Manager,Email,2024-03-18 14:00:00,4
E0186,E0198,Marketing,Operations,Junior,Junior,Chat,2024-03-16 08:00:00,2
E0127,E0045,R&D,Sales,Junior,Junior,Meeting,2024-03-06 04:00:00,0
E0176,E0151,IT,Marketing,Junior,Junior,Chat,2024-04-14 04:00:00,1
E0117,E0124,Finance,Finance,Junior,Junior,Email,2024-03-27 13:00:00,2
E0137,E0024,Operations,HR,Junior,Junior,Chat,2024-03-27 01:00:00,2
E0171,E0033,Marketing,IT,Junior,Junior,Chat,2024-03-25 18:00:00,2
E0091,E0131,Operations,HR,Junior,Junior,Email,2024-04-24 18:00:00,1
E0193,E0186,Sales,Marketing,Junior,Junior,Email,2024-03-23 09:00:00,5
E0121,E0195,R&D,Finance,Junior,Junior,Chat,2024-04-04 23:00:00,2
E0128,E0019,Sales,HR,Junior,Manager,Meeting,2024-04-27 07:00:00,1
E0061,E0182,Operations,Operations,Junior,Junior,Chat,2024-03-28 15:00:00,1
E0197,E0158,HR,Marketing,Junior,Junior,Chat,2024-04-12 21:00:00,2
E0132,E0088,Finance,IT,Junior,Junior,Meeting,2024-03-11 14:00:00,4
E0127,E0138,R&D,IT,Junior,Junior,Meeting,2024-04-04 00:00:00,2
E0117,E0151,Finance,Marketing,Junior,Junior,Meeting,2024-04-06 21:00:00,2
E0169,E0036,Operations,R&D,Junior,Junior,Meeting,2024-03-28 04:00:00,1
E0144,E0139,Finance,IT,Junior,Junior,Email,2024-03-04 08:00:00,5
E0054,E0139,Sales,IT,Junior,Junior,Email,2024-03-30 10:00:00,3
E0134,E0031,Operations,IT,Junior,Junior,Chat,2024-03-18 13:00:00,5
E0149,E0093,Sales,Sales,Junior,Junior,Email,2024-03-31 00:00:00,4
E0172,E0070,HR,Operations,Junior,Junior,Email,2024-03-23 07:00:00,5
E0026,E0040,Finance,R&D,Junior,Junior,Meeting,2024-03-03 00:00:00,0
E0146,E0107,Operations,Marketing,Junior,Junior,Email,2024-04-23 00:00:00,2
E0168,E0018,R&D,HR,Junior,Manager,Email,2024-03-09 15:00:00,4
E0008,E0171,Finance,Marketing,Manager,Junior,Email,2024-03-30 22:00:00,2
E0062,E0060,IT,HR,Junior,Junior,Chat,2024-03-11 19:00:00,1
E0178,E0110,Sales,Finance,Junior,Junior,Meeting,2024-04-15 03:00:00,4
E0060,E0192,HR,HR,Junior,Junior,Email,2024-03-20 03:00:00,1
E0028,E0085,Operations,Finance,Junior,Junior,Chat,2024-04-06 21:00:00,5
E0120,E0157,R&D,Finance,Junior,Junior,Chat,2024-03-26 22:00:00,4
E0118,E0168,Operations,R&D,Junior,Junior,Meeting,2024-04-14 20:00:00,0
E0116,E0172,Marketing,HR,Junior,Junior,Meeting,2024-04-19 09:00:00,3
E0143,E0071,Sales,Marketing,Junior,Junior,Meeting,2024-04-21 03:00:00,2
E0135,E0070,Sales,Operations,Junior,Junior,Meeting,2024-04-20 01:00:00,5
E0037,E0185,R&D,Operations,Junior,Junior,Chat,2024-04-12 11:00:00,5
E0142,E0024,Finance,HR,Junior,Junior,Meeting,2024-03-22 00:00:00,2
E0140,E0060,Operations,HR,Junior,Junior,Chat,2024-03-07 13:00:00,3
E0138,E0090,IT,IT,Junior,Junior,Meeting,2024-04-27 14:00:00,1
E0041,E0150,Finance,Operations,Junior,Junior,Chat,2024-03-12 23:00:00,8
E0119,E0014,Sales,HR,Junior,Manager,Meeting,2024-03-18 19:00:00,2
E0096,E0092,Sales,R&D,Junior,Junior,Meeting,2024-04-19 15:00:00,2
E0105,E0155,Operations,Sales,Junior,Junior,Meeting,2024-04-07 08:00:00,0
E0151,E0187,Marketing,R&D,Junior,Junior,Email,2024-04-23 02:00:00,5
E0165,E0034,Finance,Marketing,Junior,Junior,Chat,2024-03-16 14:00:00,3
E0109,E0042,Finance,Operations,Junior,Junior,Meeting,2024-03-25 10:00:00,2
E0026,E0190,Finance,Operations,Junior,Junior,Chat,2024-03-12 15:00:00,3
E0090,E0091,IT,Operations,Junior,Junior,Chat,2024-03-22 08:00:00,2
E0114,E0122,Operations,R&D,Junior,Junior,Meeting,2024-04-26 08:00:00,3
E0122,E0198,R&D,Operations,Junior,Junior,Meeting,2024-03-13 02:00:00,5
E0093,E0075,Sales,Finance,Junior,Junior,Chat,2024-04-01 17:00:00,5
E0154,E0189,IT,R&D,Junior,Junior,Meeting,2024-03-31 20:00:00,2
E0173,E0010,IT,HR,Junior,Manager,Chat,2024-04-20 00:00:00,2
E0111,E0156,IT,Finance,Junior,Junior,Email,2024-03-26 22:00:00,2
E0041,E0127,Finance,R&D,Junior,Junior,Meeting,2024-04-07 11:00:00,3
